language,family,primary_states,speakers_millions,script
Hindi,Indo-Aryan,Uttar Pradesh;Madhya Pradesh;Bihar,528,Devanagari
Bengali,Indo-Aryan,West Bengal,97,Bengali
Marathi,Indo-Aryan,Maharashtra,83,Devanagari
Telugu,Dravidian,Andhra Pradesh,81,Telugu
Tamil,Dravidian,Tamil Nadu,69,Tamil
Gujarati,Indo-Aryan,Gujarat,55,Gujarati
Urdu,Indo-Aryan,Uttar Pradesh;Jammu and Kashmir,50,Perso-Arabic
Kannada,Dravidian,Karnataka,44,Kannada
Odia,Indo-Aryan,Odisha,38,Odia
Malayalam,Dravidian,Kerala,35,Malayalam
Punjabi,Indo-Aryan,Punjab,33,Gurmukhi
Assamese,Indo-Aryan,Assam,15,Assamese
Kashmiri,Dardic,Jammu and Kashmir,7,Perso-Arabic;Devanagari
Konkani,Indo-Aryan,Goa,2.5,Devanagari
Manipuri,Sino-Tibetan,Manipur,1.8,Meitei Mayek
