monument,state,built_century,unesco,description
Taj Mahal,Uttar Pradesh,17th,Yes,"Ivory-white marble mausoleum built by Emperor Shah Jahan as a tribute to his wife Mumtaz Mahal."
Hawa Mahal,Rajasthan,18th,No,"Palace with a honeycomb facade of 953 windows, built to allow royal women to observe street life."
Meenakshi Temple,Tamil Nadu,17th,No,"Dravidian temple complex dedicated to Goddess Meenakshi, famed for its towering painted gopurams."
Khajuraho Group of Monuments,Madhya Pradesh,10th,Yes,"Group of temples renowned for intricate nagara-style architecture and sculptural artistry."
Sun Temple Konark,Odisha,13th,Yes,"Temple designed as a colossal chariot of the Sun God, with elaborately carved stone wheels."
Ajanta and Ellora Caves,Maharashtra,2nd BC-6th,Yes,"Rock-cut cave monuments featuring Buddhist, Hindu, and Jain sculptures and paintings."
Golden Temple,Punjab,16th,No,"Sikhism's holiest shrine, plated in gold and surrounded by a sacred pool, the Amrit Sarovar."
Mysore Palace,Karnataka,20th,No,"Indo-Saracenic palace known for its grandeur, illuminated during the Dasara festival."
Hampi Group of Monuments,Karnataka,14th,Yes,"Ruins of the Vijayanagara Empire capital featuring temples, bazaars, and royal structures."
Fatehpur Sikri,Uttar Pradesh,16th,Yes,"Mughal city built by Emperor Akbar, known for its blend of Persian and Indian architecture."
Qutub Minar,Delhi,13th,Yes,"Tallest brick minaret in the world, adorned with intricate carvings and Quranic inscriptions."
Red Fort,Delhi,17th,Yes,"Massive red sandstone fort that served as the main residence of Mughal emperors."
Rani ki Vav,Gujarat,11th,Yes,"Intricately carved stepwell built as a memorial, showcasing exceptional water architecture."
Charminar,Telangana,16th,No,"Iconic monument with four grand arches, symbolising the city of Hyderabad."
Basilica of Bom Jesus,Goa,16th,Yes,"Baroque church housing the remains of St. Francis Xavier, a landmark of Indo-Portuguese heritage."
