dish,state,category,spice_level,description
Dal Baati Churma,Rajasthan,Main Course,Medium,"Baked wheat rolls served with spiced lentils and a sweet crumbled wheat dessert."
Sadya,Kerala,Thali,Mild,"Elaborate vegetarian feast served on a banana leaf with over 20 traditional dishes."
Chettinad Chicken,Tamil Nadu,Main Course,High,"Fiery chicken curry made with freshly ground Chettinad spice blend."
Rosogolla,West Bengal,Dessert,None,"Soft spongy cheese balls soaked in light sugar syrup, a Bengali classic sweet."
Amritsari Kulcha,Punjab,Bread,Medium,"Stuffed leavened bread baked in a tandoor, traditionally served with chickpea curry."
Dhokla,Gujarat,Snack,Mild,"Steamed fermented gram flour cake, light and tangy, often garnished with mustard seeds."
Vada Pav,Maharashtra,Snack,Medium,"Spiced potato fritter served in a bun with chutneys, Mumbai's iconic street food."
Awadhi Biryani,Uttar Pradesh,Main Course,Medium,"Fragrant layered rice dish slow-cooked with marinated meat in the Lucknawi Dum style."
Pakhala Bhata,Odisha,Main Course,Mild,"Fermented rice dish served with curd, ideal for summer, often paired with fried vegetables."
Assamese Thali,Assam,Thali,Mild,"Simple wholesome meal featuring rice, fish curry, and seasonal greens with minimal spices."
Bisi Bele Bath,Karnataka,Main Course,Medium,"Spicy rice dish cooked with lentils, vegetables, and a distinctive tangy spice blend."
Dham,Himachal Pradesh,Thali,Mild,"Traditional festive meal of rice, lentils, and vegetable curries cooked without onion or garlic."
Poha,Madhya Pradesh,Breakfast,Mild,"Flattened rice sautéed with onions, mustard seeds, and turmeric, a popular breakfast dish."
Goan Fish Curry,Goa,Main Course,High,"Tangy coconut-based fish curry flavoured with kokum and red chillies."
Wazwan,Jammu and Kashmir,Feast,Medium,"Elaborate multi-course meat feast served on ceremonial occasions with dishes like Rogan Josh."
Eromba,Manipur,Side Dish,High,"Fermented fish mash mixed with boiled vegetables and roasted chillies."
Pesarattu,Andhra Pradesh,Breakfast,Medium,"Savoury crepe made from green gram batter, often served with ginger chutney."
Litti Chokha,Bihar,Main Course,Medium,"Roasted wheat balls stuffed with sattu, served with mashed spiced vegetables."
