name,category,origin_state,description
Bharatanatyam,Classical Dance,Tamil Nadu,"One of the oldest classical dance forms, characterised by precise footwork, expressive gestures (mudras), and devotional themes."
Kathak,Classical Dance,Uttar Pradesh,"Storytelling dance form marked by rhythmic footwork, fast spins, and expressive eye movements rooted in Mughal courts."
Kathakali,Classical Dance,Kerala,"Elaborate dance-drama known for vivid makeup, ornate costumes, and depiction of mythological stories."
Odissi,Classical Dance,Odisha,"Graceful classical dance characterised by fluid torso movements and sculpturesque poses inspired by temple carvings."
Kuchipudi,Classical Dance,Andhra Pradesh,"Dance-drama tradition combining rhythmic footwork with acting, often performed as a narrative sequence."
Manipuri,Classical Dance,Manipur,"Gentle, lyrical dance form rooted in Vaishnavite devotion, featuring soft circular movements and colourful attire."
Yakshagana,Folk Theatre,Karnataka,"Vibrant traditional theatre combining dance, music, dialogue, and elaborate costumes to enact mythological tales."
Chhau,Folk Dance,West Bengal,"Semi-classical martial dance form performed with masks depicting stories from epics and folklore."
Warli Painting,Folk Art,Maharashtra,"Tribal art form using simple geometric shapes like circles and triangles to depict daily rural life."
Madhubani Painting,Folk Art,Bihar,"Vivid folk painting style using natural dyes and pigments, traditionally created by women on mud walls."
Pattachitra,Folk Art,Odisha,"Intricate cloth-based scroll painting depicting mythological narratives with fine detailing and natural colours."
Tanjore Painting,Classical Art,Tamil Nadu,"Rich, opulent painting style using gold foil and vivid colours to depict Hindu deities and legends."
Phulkari,Textile Craft,Punjab,"Vibrant embroidery technique using darn stitches to create colourful floral patterns on fabric."
Bandhani,Textile Craft,Gujarat,"Traditional tie-dye technique creating intricate dotted patterns on fabric through hand tying and dyeing."
Chikankari,Textile Craft,Uttar Pradesh,"Delicate white-thread embroidery on fine fabric originating from the royal courts of Lucknow."
Blue Pottery,Craft,Rajasthan,"Distinctive glazed pottery craft using quartz and no clay, known for its striking blue-and-white designs."
Pashmina Weaving,Textile Craft,Jammu and Kashmir,"Exquisite hand-woven shawl craft using fine cashmere wool, prized for its softness and warmth."
Gond Painting,Folk Art,Madhya Pradesh,"Tribal art style filled with intricate dots and lines depicting nature, animals, and folklore."
Kalamkari,Textile Art,Andhra Pradesh,"Hand-painted or block-printed textile art using natural dyes to depict mythological and floral motifs."
Terracotta Craft,Craft,West Bengal,"Ancient clay-based craft producing intricately carved temple panels, pottery, and figurines."
