festival,state,month,category,description
Diwali,Pan-India,October-November,Religious,"Festival of lights celebrating the victory of light over darkness with diyas, rangoli, and fireworks."
Holi,Pan-India,March,Seasonal,"Colourful spring festival marking the triumph of good over evil, celebrated by throwing coloured powder."
Durga Puja,West Bengal,September-October,Religious,"Grand ten-day celebration honouring Goddess Durga with elaborate pandals, art, and community feasts."
Onam,Kerala,August-September,Harvest,"Ten-day harvest festival featuring Pookalam flower carpets, boat races, and grand Sadya feasts."
Pongal,Tamil Nadu,January,Harvest,"Four-day harvest festival dedicated to the Sun God, marked by cooking the traditional Pongal dish."
Baisakhi,Punjab,April,Harvest,"Punjabi harvest festival celebrated with energetic Bhangra and Gidda dance performances."
Navratri,Gujarat,September-October,Religious,"Nine-night festival celebrated with Garba and Dandiya Raas dance forms in colourful attire."
Bihu,Assam,April,Harvest,"Assamese New Year and harvest festival celebrated with traditional Bihu dance and feasting."
Ganesh Chaturthi,Maharashtra,August-September,Religious,"Ten-day festival honouring Lord Ganesha with grand idol immersions and cultural processions."
Rath Yatra,Odisha,June-July,Religious,"Chariot festival of Lord Jagannath drawing millions of devotees who pull massive wooden chariots."
Kumbh Mela,Uttar Pradesh,Every 3 years,Religious,"World's largest religious gathering where pilgrims bathe in sacred rivers for spiritual purification."
Hemis Festival,Ladakh,June-July,Religious,"Buddhist monastic festival with masked Cham dances honouring Guru Padmasambhava."
Losar,Sikkim,February,Religious,"Tibetan Buddhist New Year celebrated with prayers, dance, and traditional feasting."
Karva Chauth,North India,October-November,Religious,"Festival where married women fast for their husbands' wellbeing, breaking fast upon sighting the moon."
Ugadi,Andhra Pradesh,March-April,New Year,"Telugu New Year celebrated with the preparation of Ugadi Pachadi symbolising life's varied emotions."
Chhath Puja,Bihar,October-November,Religious,"Ancient festival dedicated to the Sun God, observed with rigorous fasting and river rituals."
Sangai Festival,Manipur,November,Cultural,"State festival showcasing Manipuri dance, martial arts, handloom, and local cuisine."
Losoong,Sikkim,December,Harvest,"Sikkimese harvest festival marking the end of the farming year with masked Cham dances."
Teej,Rajasthan,July-August,Seasonal,"Monsoon festival celebrated by women with swings, folk songs, and vibrant traditional attire."
Christmas in Goa,Goa,December,Religious,"Festive season blending Indo-Portuguese traditions with midnight mass, carols, and feasting."
