state,region,capital,latitude,longitude,primary_languages,famous_dance,heritage_sites,unesco_sites,craft_specialty,cuisine_style,music_tradition,architecture_style,short_intro
Rajasthan,North,Jaipur,26.9124,75.7873,Hindi;Rajasthani,Ghoomar,145,3,Blue Pottery & Block Print,Rich & Spicy (Dal Baati Churma),Folk (Manganiyar),Rajput Fort Architecture,"Land of kings, deserts, and vibrant folk traditions with majestic forts and palaces."
Kerala,South,Thiruvananthapuram,8.5241,76.9366,Malayalam,Kathakali,42,1,Coir & Coconut Shell Craft,Coconut-based & Seafood,Sopana Sangeetham,Traditional Sloped-roof Nalukettu,"God's Own Country known for backwaters, Ayurveda, and classical Kathakali theatre."
Tamil Nadu,South,Chennai,13.0827,80.2707,Tamil,Bharatanatyam,90,4,Tanjore Painting & Bronze Casting,Tangy & Rice-based (Sambar),Carnatic Music,Dravidian Temple Architecture,"Home to ancient Dravidian temples and the classical dance form Bharatanatyam."
West Bengal,East,Kolkata,22.5726,88.3639,Bengali,Chhau,58,2,Kantha Embroidery & Terracotta,Sweet & Fish-based,Rabindra Sangeet,Terracotta Temple Architecture,"Cultural capital celebrated for literature, Durga Puja, and Rabindra Sangeet."
Punjab,North,Chandigarh,31.1471,75.3412,Punjabi,Bhangra,25,0,Phulkari Embroidery,Rich Dairy-based (Butter Chicken),Sufi & Gurbani Kirtan,Sikh Gurdwara Architecture,"Land of five rivers famed for energetic Bhangra and warm Punjabi hospitality."
Gujarat,West,Gandhinagar,23.0225,72.5714,Gujarati,Garba,34,4,Bandhani Tie-Dye & Patola Weaving,Sweet & Savory Thali,Garba Folk Music,Indo-Saracenic Architecture,"Vibrant state known for Navratri Garba nights and intricate textile crafts."
Maharashtra,West,Mumbai,19.7515,75.7139,Marathi,Lavani,110,5,Paithani Weaving & Warli Painting,Spicy Coastal & Vada Pav,Powada Folk Ballads,Cave Temple Architecture (Ajanta-Ellora),"Diverse state blending Bollywood glamour with ancient cave temples and forts."
Uttar Pradesh,North,Lucknow,26.8467,80.9462,Hindi;Urdu,Kathak,180,3,Chikankari Embroidery & Zardozi,Awadhi Cuisine (Kebabs & Biryani),Thumri,Mughal Architecture,"Home to the Taj Mahal and the graceful classical dance form Kathak."
Odisha,East,Bhubaneswar,20.9517,85.0985,Odia,Odissi,120,1,Pattachitra Painting & Silver Filigree,Rice & Seafood based,Odissi Music,Kalinga Temple Architecture,"Temple city famed for Odissi dance and the annual Rath Yatra of Puri."
Assam,Northeast,Dispur,26.2006,92.9376,Assamese,Bihu,55,2,Muga Silk Weaving,Rice & Fish based,Bihu Folk Songs,Ahom Architecture,"Tea-garden state known for the joyous Bihu festival and Muga silk."
Karnataka,South,Bengaluru,15.3173,75.7139,Kannada,Yakshagana,80,3,Mysore Silk & Sandalwood Carving,Mild & Coconut-based,Carnatic Music,Hoysala Temple Architecture,"Blends ancient Hoysala temples with the vibrant folk theatre Yakshagana."
Himachal Pradesh,North,Shimla,31.1048,77.1734,Hindi;Pahari,Nati,45,1,Kullu Shawl Weaving,Simple Mountain Cuisine (Dham),Pahari Folk Music,Wooden Temple Architecture,"Himalayan state celebrated for colourful Nati dance and hillside temples."
Madhya Pradesh,Central,Bhopal,23.2599,77.4126,Hindi,Karma,90,3,Gond Painting & Chanderi Weaving,Wheat & Millet based,Tribal Folk Music,Khajuraho Temple Architecture,"Heart of India with the intricate carvings of Khajuraho and Gond tribal art."
Goa,West,Panaji,15.2993,74.1240,Konkani,Fugdi,20,1,Azulejos Tile Art,Seafood & Coconut based,Goan Fado & Mando,Indo-Portuguese Architecture,"Coastal gem blending Portuguese heritage with vibrant beach culture."
Jammu and Kashmir,North,Srinagar,34.0837,74.7973,Kashmiri;Urdu,Rouff,30,0,Pashmina Weaving & Papier-mache,Wazwan Multi-course Feast,Sufiana Kalam,Houseboat & Mughal Garden Architecture,"Paradise on earth known for Pashmina shawls and the soulful Sufiana music."
Manipur,Northeast,Imphal,24.6637,93.9063,Meitei,Manipuri,15,0,Longpi Pottery,Rice & Fermented Fish,Pung Cholom Drumming,Traditional Bamboo Architecture,"Home to the graceful classical dance Manipuri and vibrant Pung Cholom drumming."
Andhra Pradesh,South,Amaravati,15.9129,79.7400,Telugu,Kuchipudi,65,1,Kalamkari Painting,Spicy Rice-based,Carnatic Music,Vijayanagara Architecture,"Known for the fiery Kuchipudi dance form and intricate Kalamkari textile art."
Bihar,East,Patna,25.0961,85.3131,Hindi;Bhojpuri,Jat-Jatin,48,1,Madhubani Painting,Simple Vegetarian (Litti Chokha),Bhojpuri Folk Music,Buddhist Stupa Architecture,"Ancient seat of learning famed for Madhubani art and Buddhist heritage sites."
